Title,Rating,Name,Country,Date,Body
"""there is no excuse for their hostility""",1,Elizabeth Meuser,"

Elizabeth Meuser (United States) 19th September 2019",19th September 2019,"Not Verified |  
The screeners were vicious morons. If a sensor lights up, that means certain areas are to be inspected. Fine. But a lit sensor did not mean that I was guilty of something. The screener pummeled me and kept saying, ""Ma'am"" in an officious tone. I am a little-ish old lady with blue eyes and light brown hair, an American of Germanic descent. I have not been out of the United States since 2008, on a cruise in the Caribbean. I would be stunned if anyone could find a terrorist of my description but the screener acted as if I were carrying a grenade. I realize that your screeners may not be the brightest of people but there is no excuse for their hostility and complete lack of common sense. There is no other word than, ""Bully."" If the screeners keep up at this, someone is going to sue them for battery. We have relief in common. I would rather be buried alive than travel to England again and the screeners will never see me again. The trip was supposed to be a birthday celebration for me. Not much of a celebration."
"""plenty of helpful staff""",10,John Davies,"

John Davies (United Kingdom) 8th September 2019",8th September 2019,"Not Verified |  Quick efficient passage, through Terminal 2, plenty of helpful staff available to assist, check in and Security queues were minimal. Security staff efficient and quite pleasant, terminal was fairly busy but clean and tidy and easy to navigate from entrance to departure gate."
"""a very good to excellent terminal""",9,Tony McLaughlin,"

Tony McLaughlin (United Kingdom) 6th September 2019",6th September 2019,"✅ Trip Verified | Leaving - T5 is still one of my favourite terminals. there have been some changes since my last visit in 2017. Self Check in is now the norm. At 05.30 on a Friday morning, it wasn't that busy. Terminal signage indicated that South was less busy than North for getting through security, and indeed it was and it delivers you right outside the Gordon Ramsay restaurant, which is excellent! Flight left from C57, which must be one of the furthest gates from the main terminal. It is also a long walk to the plane from there. Arriving - E-Gates are now the norm for immigration. It was quite busy, and I fear that if there is a Hard Brexit, it will be very chaotic at the UK Border. Bags from my flight started to arrive on the belt as I arrived in the Baggage Hall. Overall still a very good to excellent terminal."
"""there was no trolley""",1,Divya Patel,"

Divya Patel (United Kingdom) 30th August 2019",30th August 2019,Not Verified |  I traveled with my family from terminal 2 to USA. Came back on terminal 2. The biggest issue was claiming baggage there was no trolley at all to keep your bags.?when I asked them they said they run out of trolley. After an hour of claiming our bags I found 1 trolley and some how managed to came out. When we came out I can’t believe it but there was so many trolley outside - airport staff was just going around but not bother to bring the trolley inside the airport. Very disappointed. I think they not bother about service.
"""No hassle at all""",9,T Jackson,"

2 reviews



T Jackson (United Kingdom) 21st August 2019",21st August 2019,"✅ Trip Verified | Terminal 5 is a very good terminal. There is lots of space and the queue times are not very long. Security would be my only issue, as a lady was very unpleasant to passengers queuing up for security. Through security, there are a good range of shops and food options at a reasonable price (for an airport). There were plenty of departure screens and signage was good. No hassle at all when travelling through Heathrow Terminal 5."
"""Worst transit airport""",1,A Morris,"

A Morris (United States) 18th August 2019",18th August 2019,"✅ Trip Verified | Worst transit airport in the world. You will miss your flight or be running to the terminal while having a panic attack at the 100 thoughts going through your head on how to reschedule a missing flight. This is due to the extra security for liquids. I left my chapstick in my purse along with a prescription eye drop size of my pinky which warranted extra security! This is insanely ridiculous! Extra security took forever. My colleague wasn’t able to put all her toiletries in the small clear plastic bag they provide. The bag has to fully close and hers didn’t, thus extra security warranted for her. After going through the extra security, she had to dump the things that didn’t fit in this ridiculous small bag. We ended missing our flight. No other airport makes you go through this scrutinizing process of extra security that only causes delays and angry passengers. I’ll never fly through Heathrow again."
"""T2 is a truly awful experience""",2,F Lewis,"

F Lewis (United States) 18th August 2019",18th August 2019,"✅ Trip Verified | T2 is a truly awful experience. Firstly, try to get up and down in the lifts from the car park in less than 20 minutes. Total bottleneck, always full, and if you don’t dive in the doors shut on you in a nano-second. Then try to get VAT reclaim in less than an hour, with queues out of the door and rude service. Then try and walk to the furthest gates and see if you have survived the T2 experience. Throw fast-track security in that doesn’t allow our child to come through with us (Star Alliance Gold Elite) together with the worst shopping selection and now you have my nemesis airport."
"""VAT refunds with long queues""",1,C Han,"

C Han (Singapore) 15th August 2019",15th August 2019,"✅ Trip Verified |  This is one of the worst airport I have been to. Services are slow, staff were rude to me, VAT refunds are impossible with long queues. When I have a feedback regarding the VAT service, the staff said that I am the only one giving a negative feedback. Really? "
"""Terminal 2 is a good terminal""",8,M Hardasan,"

M Hardasan (United Kingdom) 8th August 2019",8th August 2019,✅ Trip Verified |  Terminal 2 is a good terminal. Not too big and small. Just the right size for the volume of traffic. Security length was short and I was inside the terminal within 10 mins. Polite staff. Good range of shops and the gates and toilets are clearly signposted. Plenty of seating available. Coming back I was out of the airport within 10 mins as I used the new self service passport screening machines. I'm impressed.
"""unnecessary extra check""",3,C Gomez,"

C Gomez (United States) 8th August 2019",8th August 2019,"Not Verified |  Rude airport security workers. The airport is fine until you get to the gates, that’s where they do an unnecessary extra check of your luggage and carryon and ask you  questions to distract you and get you to give information. I did not like my experience and the unnecessary checks."
"""security check is a nightmare""",1,William Stein,"

William Stein (United States) 29th July 2019",29th July 2019,"✅ Trip Verified |  I always try to avoid a Heathrow as going through security check is a nightmare. They can have 5 bags pulled for further check yet 1 checker leaves on break. Appears they don't like their job or they get off on terrorizing travelers. They take everything out and dump it in a bin leaving you to carefully fit everything back in your carry on quickly. Numerous people said they are going to miss their flight but they just shrug.  I was given an orange express card yet they didn't look at my luggage first. I'm all for security but not in the manner these heartless people do it. Heathrow, worst airport in the world."
"""lifts are too small""",3,Frank Rispin,"

Frank Rispin (United Kingdom) 29th July 2019",29th July 2019,Not Verified |  Terminal 2 is ok in many ways. But the lifts between car park and arrivals and departure floors are too small. Lifts constantly arrive already full. 2. Cafes landside are far fewer ie 2 than old T3.  Walk to gates is a marathon including massive down escalator immediately followed by 2 up escalators. Fancy baggage carousels on arrival are slow owing to stupid traffic light system that slows the whole thing up.
"""Terminal 3 was exceptionally smooth""",7,Anurag Dave,"

41 reviews



Anurag Dave (United States) 27th July 2019",27th July 2019,"✅ Trip Verified | The arrival experience in Heathrow's Terminal 3 was exceptionally smooth. During immigration, US citizens were allowed to use the kiosks for UK citizens, which made the process quicker. While flying back to US on a Sunday, the check-in and security lines in T3 were long. After security, the terminal was crowded, but there were open seats available. The seating area doesn't provide any plane spotting opportunity. Terminal 3 has a shopping mall vibe, so the shopping and dining options are fantastic. In Heathrow, the boarding gate is displayed minutes before boarding starts. When I was walking to my gate, I saw a sign that read, ""No restrooms beyond this point."" Overall, Terminal 3 is good, but Terminal 2 still provides the best experience in Heathrow."
"""Staff friendly and security was easy""",9,Glenn Taylor-Biffen,"

Glenn Taylor-Biffen (United Kingdom) 21st July 2019",21st July 2019,"Not Verified |  T5 is light and an unhindered with space. Staff friendly and security was easy. The only unhelpful hindrance to our staffing experience was the assistant at the bag drop, (then again, that is down to the Airline). The other issue is the Heathrow website on the screens at the tables in Ramsey's restaurant)/bar, the information greatly differs to that of the actual information screens: The former showed a delay, the latter showed the gate boarding as of now!"
"""What a total nightmare""",3,L Giannotti,"

L Giannotti (United States) 19th July 2019",19th July 2019,"Not Verified |  Security was similar to the 9/11 experience if you are old enough to remember what that was like. Every little “cream or liquid like item” was thoroughly checked! Once we (as middle aged Americans) passed through that check point, my husband was singled out for an additional check. He had 3 agents on him at once. It took 10 minutes while they dumped again every last item out of his bag! I tried to take a photo of him only and was then harassed by a staffer and told to show my phone with pictures! What a total nightmare! We are simply visiting tourists!"
"""don't want to use the scan machines""",1,G Herman,"

G Herman (United States) 19th July 2019",19th July 2019,"✅ Trip Verified |  We arrived hours early and almost missed the flight because of the queues. Those who don't want to use the scan machines and opt for the pat down are lectured for ages on their disobedience while the bags are scanned and hand checked for hours. Also the walk from security to the gate was 20 mins.Luckily our flight was delayed. This will be the last time, Heathrow. It used to be a good airport."
"""the service was inefficient and sloppy""",4,Gary Weinstein,"

Gary Weinstein (United Kingdom) 9th July 2019",9th July 2019,"✅ Trip Verified | First time using the new Heathrow Terminal 2 to departure from / arrive to. Disappointed both times. At departure the check-in machines weren't accepting valid bookings. Long queues built up a check-in desks and check-in weren't proactive in opening more desks. One member even said ""I wondered why the queue was so long"" and yet that wasn't sufficient to prompt them to do something about it. On return around 22.45 the finger took a long time being deployed and then suitcases took ages to arrive. Big pause of around 15 minutes between first and second batch of bags coming through. For a modern terminal the service was inefficient and sloppy. Would avoid using this terminal again if possible."
"""found the experience excellent""",9,M Butler,"

M Butler (Cyprus) 27th June 2019",27th June 2019,Not Verified |  Terminal 2 - found the experience excellent. Very helpful staff on the automated check in. No delay on getting rid of baggage. Short wait for security. Loads of seating in the lounge. The whole place was very clean. Absolutely nothing to dislike.
"""Staff were hopeless""",1,D Dawson,"

D Dawson (United Kingdom) 21st June 2019",21st June 2019,✅ Trip Verified | Use Amsterdam or Copenhagen for a good experience not Heathrow! BA flight from Bangkok - 2 hours late - rushing for Edinburgh flight - no help from BA. Customs and Security were a joke - automated equipment did not work. Boarding Passes did not register. Staff were hopeless - I will never use Heathrow again!
"""a stress free start to our holiday""",10,S Mardon,"

S Mardon (United Kingdom) 20th June 2019",20th June 2019,"✅ Trip Verified |  Heathrow airport is very near to where we live so use it for travelling. We use Terminal 5 to travel to Corfu. We checked in online the day before. Outbound we used the self service bag drop and was assisted by a lovely ground staff lady to deliver our cases. We went to Security which had a very small queue and passed through with ease, no pushing or being forced to move through quickly. Spent time at a restaurant for breakfast. After breakfast we waited for our gate number. The Terminal is very clean and tidy, any of the ground staff will help with any queries or questions with politeness. We always use Terminal 5 for convenience and a stress free start to our holiday."
"""Airport staff was nice""",5,E Garman,"

11 reviews



E Garman (United States) 18th June 2019",18th June 2019,"✅ Trip Verified |  I flew through LHR twice on this vacation. I had to connect from T2 to T5 from Air New Zealand to British Airways. Finding the connection was easy, but it was a bit unclear which bus I should take and it made random stops where people weren't told anything. Airport staff was nice, some were funny too. On my return flight I had the same connection issues. Signage in T2 could be more clear as I nearly exited the airport."
"""Queued for 45 minutes""",4,B Watkin,"

B Watkin (United Kingdom) 11th June 2019",11th June 2019,"✅ Trip Verified | Awful arrived at 04.45 to find 3 check in desks open for several flights. Queued for 45 minutes to do my bag drop. Asked the young assistant why it was taking so long and got told it was because a lot of passengers turned up at the same time. What a surprise when there are so many early flights. Also people who turn up with 4 times their baggage allowance and then start arguing over the cost of excess charge should be sent to a separate check in and wait.

"
"""worst security experience""",1,S Marden,"

S Marden (United States) 6th June 2019",6th June 2019,"✅ Trip Verified |  The bag check in is now automated which means there is no one to help. Waiting in line to try to figure out the system by ourselves. Took a few tries. Stressful. Then the worst security experience of my life. I was pushed, hurried, shoved around, roughly searched. They took off my prescription glasses and I couldn’t see anything to find the buckets that held my phone, handbag etc. The search was brisk, invasive and there was no one polite enough to help me after they were finished with me. I have never felt shocked and distressed in a security check before and there was no one behind us, so there was absolutely no need to shove me through. "
"""Good riddance Heathrow""",1,Patrick Kelly,"

Patrick Kelly (United States) 24th May 2019",24th May 2019,"Not Verified |  Worst airport I ever went through. My family of 6 had a connection with British Airways with 90 minutes for us to get from one gate to another after we arrived here from Philadelphia. We missed our flight thank you, the lack of any interest in moving passengers through especially those of us with connections is evident. Nobody sees to care about the customers and travelers passing through here, they just don’t, it’s obvious. This is my last trip to the UK. Good riddance Heathrow."
"""This airport is a disgrace""",2,I Richards,"

I Richards (United Kingdom) 24th May 2019",24th May 2019,"Not Verified |  This airport is a disgrace. As a UK citizen entering from the US and transiting to Manchester, we arrived in T3 and had to wait about 10 minutes for an operator to attach the airbridge. Once attached, we had a lengthy walk (about 15 minutes) to get to the UK Border and immigration check. Signage was OK but limited. Having been scanned at the ePassport barrier, I thought I was through and into the terminal proper but I was immediately confronted with another bank of scanners and bar code readers - no explanation or instructions. There was an unhelpful and surly security guard who stopped me from walking around these scanners. He told me that I had to (again) remove my glasses and have my photo taken for ""airport security"" - why? I asked him when my data would be removed from Heathrow's system. He gave me the impression he had no idea why I was asking and then glibly agreed with me that it would be deleted when I left the airport. I dont believe it for a moment. Given the recent court case about facial recognition software, where is the policy statement from Heathrow about the usage of our data and how it is protected/deleted? Once through this barrier, another lengthy walk to a bus gate for a long transfer to T5. Why does Heathrow not have a skytrain connecting terminals? After our overnight flight, we were made to wait about 30 minutes until a bus arrived at which point, there was a massive queue of people. The driver of the bus was rude, just packing people into the bus and then driving at quite a speed around a maze of roads to get to T5. We were then confronted with another walk to security where we again went through the usual street theatre of security, overseen by an unsmiling security guard - welcome to the UK. Had I been a foreign visitor, I would not have had a good impression of the UK. Once through the chaos of security, the shopping mall which is T5 was crowded with very few seats available and throngs of confused looking people. Eventually, we got to our connecting gate where our pictures were taken again before we were allowed to board. This airport is horrendous. Having flown in from JFK, I suggest that LHR management take a look at how a proper airport should be run."
"""18 processing stations, only 8 were staffed""",4,T Irving,"

T Irving (Australia) 17th May 2019",17th May 2019,"✅ Trip Verified | Arrived London Heathrow at 8:30 pm. I was in Row 75 on the plane so well back in the Border Force queue. I rarely ever complain, but after a 24 hour flight, I found it really unpleasant to stand for 2+ hours in the ""Non EU"" queue for Border Security Checks. Of about 18 processing stations, only 8 were staffed and sometimes as few as 6 whilst staff had breaks. There were 4 or more staff doing crowd control which seemed more than necessary. I have no problem with the processing staff who were diligently carrying out their work. There just wasn't enough of them rostered on and that's avery poor VERY POOR and needs addressing. This visitor will in future choose to spend my hard earned dollars holidaying somewhere else."
"""What a nightmare LHR has become""",1,Ian Andrews,"

Ian Andrews (United Kingdom) 16th May 2019",16th May 2019,"✅ Trip Verified | What a nightmare LHR has become. We landed in T5 domestic and had to transfer through to international, the line of site signage is almost non existant. There are E gates everywhere, we must have gone through 2 or 3 e gates before we were allowed on our plane. If you have a cap or glasses you can forget it. You just don't need this when you have many things already to carry. The number of the departure gate is not displayed until quite late. We found our plane by the registration and using an app. Seating at departure gate is limited and the boading of the flight was mixed up to say the least. Our return leg was even worse, Passport control was all but un manned there were a few advisors sending everyone to E passport gates and my 16 yo Autistic son was ushered off to another gate. I was allowed through but my son was rejected and told to go and stand in a queue in unaccompanied. I asked why and they said that he was under 18, my son should have been allowed to use E gates according to the heathrow website at the time. Again lots of e gates and photograph taking, no glasses allowed, no caps, etc. And gates not even in logical places. There are some very nice people in the shops but the passport control staff need to have their personalities re installed and learn their own rules regarding e passport gates."
"""they do not have a clue""",1,Steve Vitale,"

Steve Vitale (United States) 9th May 2019",9th May 2019,Not Verified |  We have traveled extensively and have never found such rude and inconsiderate workers at security. We were told two different things by two different agents. In general they do not have a clue.
"""good food and good seating""",1,K Erwin,"

K Erwin (United Kingdom) 5th May 2019",5th May 2019,"Not Verified |  Airport security were beyond awful for me - slow, careless, thoughtless, unapologetic, and incompetent. Signage isn't just confusing, I found it often incorrect. Best approach is to print out a map and find your own way versus. That said, the airport is modern and clean with relatively good food and good seating."
London Heathrow Airport customer review,8,Ha Nhu Le,"

Ha Nhu Le (United Kingdom) 30th April 2019",30th April 2019,"Not Verified |  Heathrow does the job. Even though Heathrow is further than Gatwick we still go to Heathrow to go to Vietnam Airlines. A lot of options to choose from (for breakfast) in terminal 3, the food was delicious and kept us going through the flight. The only thing that I’m a bit miffed about is the long queues! There were two opposite queues, and both were long, 1 longer than the other. But it didn’t matter as we planned ahead our time (5 hours ahead) so we were able to pass security on time. I recommend going to the airport way earlier than you expect, as there are many many queues which take a lot of time. "
"""sign posting was confusing""",7,Gyan Fernando,"

18 reviews



Gyan Fernando (United Kingdom) 22nd April 2019",22nd April 2019,"✅ Trip Verified | Departing and arriving at LHR T2, I found it a little bit frustrating to find my way from and to the Central Bus Station. The sign posting was confusing and the lifts were slow and temperamental. The escalotors are formidable even if you are carrying standard baggage. However, the staff, including Hotel Hoppa bus drivers, are very helpful."
"""Heathrow is a disgrace""",1,H Jackson,"

H Jackson (United States) 8th April 2019",8th April 2019,"✅ Trip Verified | 30th Anniversary Rhine River cruise trip, from Amsterdam to Basel. Heathrow was our connecting flight both coming in and returning home. By far the worst airport experience my wife or I have experienced on 'every' level. We are AA Frequent Flyers with Global Security status as well. LHR had the single most unnecessarily invasive, rude, redundant and down right nightmarish security checks & processing of any airport (International or domestic) we've ever encountered. And this was merely for a 'connecting' flight both times wherein we never left the secure area! In fact upon our initial arrival we were so delayed waiting to land then gate docking that we nearly missed connecting flight and were rushed with ""expedited pass"" by airport personnel with small group others yet we were 'still' run through the most rude, confusing and inhuman security checks ever experienced 'just' to get to our connecting flight gate! Really? Barely made our connecting flight and had no time to even use restroom in between all this rush and harassment. Our second Heathrow experience (returning home) was if you can believe it very much worse! Words are not enough to detail that experience and it still literally gives me nightmares and anxiety. The airport security is staffed almost exclusively by employees who almost all seemed to 'profile' travelers and ""run them through the ringer"" in the most rude, abrasive, disrespectful and insulting manner. I have no bias against any person as long they do their job properly and with respect for themselves, others and the institution they represent. The airport itself is horribly inefficient beginning with the bus transfers from arrival to departure gate areas, continuing with confusing signage or especially instructions, and finalized by some of the worst airport staff we've ever encountered in all our years flying. Again this was 'both' times we had to go through Heathrow and experienced by others around us as well, not an isolated incident. Heathrow is a disgrace to air travel & travelers and the fullest example of everything that is wrong today with airports in general. It is quite a shame that Heathrow is meant to be an International hub for so many travelers and thus such a gruelling experience for so many."
"""poor signage""",2,Michael Schade,"

Michael Schade (Germany) 5th April 2019",5th April 2019,"✅ Trip Verified | Heathrow Terminal 5, massive Terminal, poor signage, information counters unmanned, slow and not very friendly security check. Worst were the toilets which were rather dirty. Overall an experience I want to forget."
"""such a poorly run airport""",1,P Payne,"

P Payne (United States) 27th March 2019",27th March 2019,"Not Verified |  Hopefully, one (and only) positive result of Brexit is that Heathrow will cease to be an international hub and we will no longer have to endure such a poorly run airport. Missed flights, long lines, rude security officials, total incompetence are all at work here. Avoid at all costs. Especially do not attempt a connecting flight here. My family trip from the US to Barcelona was marred by a hellish experience here! Avoid!"
"""I was very impressed""",9,John Rolfe,"

6 reviews



John Rolfe (United Kingdom) 20th March 2019",20th March 2019,✅ Trip Verified | This was my first time travelling through LHR T2 and I was very impressed. Check in (for EVA Air) was very quick. Security was very efficient and there was a very small wait time. Once airside there is a good choice of shops and restaurants and importantly plenty of seating available. Toilets were clean! Will be happy to use T2 again.
"""limited seating and limited amenities""",3,F Norris,"

F Norris (United States) 19th March 2019",19th March 2019,"✅ Trip Verified | I have not been at Heathrow for many years, and I had to use Terminal 3 for a departure to New York. Not traveling on business this time, I was an economy passenger and I experienced this in such status. Basically, Terminal 3 is just a vast, overpriced shopping mall, crammed with every high-end store imaginable, with limited seating and limited amenities that I could see, e.g., USB charging ports for cell phones. One has to sit in a crowded, central seating area where gates are not announced until around 40 minutes before the boarding time. Once a gate is announced, it can be a 15-20 minute trek to a gate, even with moving sidewalks. And beware, there are very few toilets! The signs for the toilets take you on a yellow brick road kind of odyssey which can encompass a 10 minute walk through a maze of stores, unless I missed something, there is only one near the entrance to the mall after exiting security. There are no toilets near or at the gates, which, as I said, can be very far from the main seating ""pen"" so to speak. Also, the security lines can be long. When the airport web site states ""arrive 3 hours before departure"" there is a very good reason for that. I travel quite a bit internationally, and this is the first airport review I have ever written. But, I feel compelled to do this to warn others. I was very disappointed."
"""poor planning, design, and management""",3,R Wickersham,"

R Wickersham (Germany) 19th March 2019",19th March 2019,"Not Verified |  Poorly designed. After a long bus ride from T3 to T5, it can take up to 30 minutes to get to your gate. The gate for my flight was assigned and posted on the board less than an hour before the thing took off! So fun not knowing just where I needed to be for my flight. Just poor planning, design, and management!"
"""very well organised and clean""",10,Slim Benatia ,"

2 reviews



Slim Benatia  (United Kingdom) 12th March 2019",12th March 2019,"✅ Trip Verified | 
Terminal 5 arrivals is very well organised and clean. I love passing through the fast passport control E-gates system. I didn’t wait a lot for my laggage to be delivered. The terminal is very well connected to the other terminals and London."
"""Avoid going here""",1,Taylor Miller,"

Taylor Miller (United States) 3rd March 2019",3rd March 2019,Not Verified | The absolute worst airport that I have ever been to. They made me throw away all of my face products because you can only carry on one plastic bag of things. It took 2 hours to get from our first flight to our connecting flight. Absolutely ridiculous. The staff was very rude and disrespectful to me when I had questions. Avoid going here if you can help it.
"""rude and inconsiderate""",3,N John ,"

N John  (United Kingdom) 2nd March 2019",2nd March 2019,Not Verified |  Airport security staff at terminal 3 are rude and inconsiderate. No customer service skills nor empathy. Unfriendly. Airport management needs to invest more in their staff to increase job satisfaction and maybe hire people who are a better fit in dealing with customers.
"""such dirty trays used""",6,L Nelson,"

L Nelson (Denmark) 27th February 2019",27th February 2019,✅ Trip Verified | Really unpleasant with such dirty trays used in Security. Further used for shoes as well as all other belongings that you would normally not expose to “door mat” environment. Does not match a modern western style airport experience.
"""One of the best airports""",10,Allan Foster,"

Allan Foster (United Kingdom) 25th February 2019",25th February 2019,"Not Verified |  One of the best airports. Great service, clean and a large variety of shops and restaurants. It would be nice to have aircraft spotting facilities. A third runway is definitely required. I would definitely recommend flying through London Heathrow Airport."
"""expect the worst""
",3,H Martin,"

H Martin (United Kingdom) 25th February 2019",25th February 2019,"✅ Trip Verified | 
Terminal Two, 7pm on a Thursday evening. Quite possibly the worst airport check in experience ever. We are a family of four with a three year old and a one year old. Check in process is a shambles now with people queuing for four different flights down one lengthy maze of barriers. Only two assistants struggling to cope with the chaos. We were treated like animals, penned into a barrier tape maze for 90 minutes. My wife had to crawl under the barriers with a buggy to go and feed the younger child who was getting quite upset, again no airport staff to advise or assist. Fellow travellers gave up their turn in the queue for us as they could see the effect that this experience was having on the children. The terminal building is clean and well signed but under staffed. If you are going to depart from here, expect the worst and hope for the best."
"""Amazing experience""
",10,Georgios Efkolidis,"

Georgios Efkolidis (United Kingdom) 14th February 2019",14th February 2019,"Not Verified |  Amazing experience out of T5. Great fast track security, nice selection of shops and duty free. Never disappoints me. On the way back, a whiz through immigration. Compared to Gatwick or Amsterdam, miles ahead."
"""quite a good airport""",9,C Matthews,"

C Matthews (United Kingdom) 31st January 2019",31st January 2019,"✅ Trip Verified |  As a frequent user living in London I have to say it's quite a good airport nowadays, but with proviso that for transfer travellers I think its pretty awful. Great shops, food options and  security and immigration work quite well. "
"""easy airport to reach""",10,Oliver Andersin,"

5 reviews



Oliver Andersin (Sweden) 24th January 2019",24th January 2019,"✅ Trip Verified | London Heathrow is great airport, it's easy to find your gate and shopping/food. There is a some differences between the terminals and terminal 5 is the better one. It's the standard a hub terminal should have and BA should be happy to have the terminal since it's in my opinion the best terminal in the world. Terminal 3 is also nice and but not as nice as T5. There is less of assortment there compared to T5 of food and shopping. LHR is a easy airport to reach and check-in and baggage claim is fast. Security can take some time, but never more than 15-30min."
"""excellent signage throughout""",8,N Manson,"

7 reviews



N Manson (United States) 23rd January 2019",23rd January 2019,✅ Trip Verified | What's not to like about London Heathrow Terminal 5. We transited here on our way to Athens and again on our way home to Boston. On both occasions the terminal was brightly lit with excellent signage throughout. There are excellent shopping and dining options. The area in the main building to take the trains to the satellite terminals can be crowded resulting in scarce seating. That's understandable given the number of passengers that go through this terminal. WiFi is free (sign up) and its excellent.
"""Try to avoid!""",2,Wolfgang Bernhart,"

13 reviews



Wolfgang Bernhart (Germany) 21st January 2019",21st January 2019,✅ Trip Verified | Try to avoid! If you need to change terminals you rely on the trains but those are unreliable because they do not do their maintenance properly. I always prefer AMS which is much better organized!
