Title,Rating,Name,Country,Date,Verification,Body
Customer service is non-existent,1,W Dawson,United Kingdom,15th September 2017,✅ Verified Review ,"  By far one of the worst airports to depart from and arrive at in the world. The airport security staff are most definitely the rudest, the most arrogant and without doubt the most incompetent set of individuals one could possibly encounter in any customer services business anywhere in the world. I truly feel sorry for tourists entering England for the first time and having to encounter the human zoo otherwise known as Heathrow airport. The electronic passport gates were not all working but this was not mentioned by the one member of staff whose grasp of the English language was sub-standard, people were queuing up in lanes where the machines were out of order leading to a build up of irate travel weary passengers. Customer service is non-existent in Heathrow airport, the security is undoubtedly the worst ever and that goes for all the UK airports!"
a really easy experience overall,8,John Barry,United Kingdom,9th September 2017,✅ Verified Review ,"  T5. Dropped the car at meet and greet. Down one floor, across bridge, straight up to bag drop off, quick service there. Through security in quick time, staff all ok. Shopped in three different places and still in lounge in 50 mins from drawing up in car. Can't be bad. Departure from gate practically at bottom of stairs so all really easy. All boarded on time but then the dreaded Heathrow over crowding of slots. Still a really easy experience overall. When T5 works, it really works well we have found. Coming back from Zante shows how good it is."
All in all a bad experience,1,M Thomas,Switzerland,9th September 2017,✅ Verified Review ,"  Security staff at Terminal 5 were condescending and rude, likewise the staff at the restaurant. For transit passengers this may be the first or only contact they have with a British person, gives a bad impression of the airport and of Britain. Restaurant had water dripping from the ceiling from an unrepaired air con unit and their only card reader was not working. Gate announcement was late resulting in a rush to building 'C' where the escalator was not working and we had to queue for the lift. All in all a bad experience, I probably won't use this terminal again which is a pity for British Airways who were otherwise good.

"
he received no help at all,1,Maureen Barnett,United Kingdom,30th August 2017,❎ Unverified ,"  My brother who has terminal cancer recently flew to and from Canada, via Heathrow airport, to visit his grandchildren. Due to his illness he is unable to carry luggage so had requested assistance on both journeys. Unbelievably he received no help at all. On his return he had to descend 3 flights of stairs. Thankfully a very kind passenger gave him assistance. Your services absolutely stink Heathrow."
security took less than 5 minutes to get through,9,O Thompson,United Kingdom,30th August 2017,✅ Verified Review ,"  Terminal 5. Minimal queue at bag drop and security took less than 5 minutes to get through, despite being the Friday morning of the bank holiday weekend. The departure area was very busy, as always, but we found a seat without a problem. Our flight departed from the A gates so no need to take the transit, although the waiting areas for these gates do feel cramped. Boarding was orderly. When we returned on bank holiday Monday there was no queue at all for the EU passport gates and our suitcases arrived within 10 minutes. I have to say, I have never had a bad experience at Terminal 5 and use it around 5 times per year. This this may not be representative of the rest of Heathrow, but I always find it a very efficient and slick experience especially compared to the other London airports."
the terminal is just beautiful,9,A Ridley,United Kingdom,30th August 2017,❎ Unverified ,"  So I haven't flown from T5 before and what can I say, I wish all airport terminals were the same. The personable experience from the lady at security when I said I was a nervous flyer, she was very friendly and reassuring, also sparked up a conversation with me about my travels, it really helped me calm down. So from security I went to itsu, and the food was amazing and for an airport so reasonably priced for what I got. Also, I have to say the terminal is just beautiful, really well designed and laid out, I usually struggle to find gates but as they were all pretty much in one place it made it so user friendly. Definitely flying from here again."
my quickest and smoothest airport experience,9,C Bollani,United Kingdom,25th August 2017,✅ Verified Review ,"  
Leaving and arriving at Heathrow Terminal 5 have been my quickest and smoothest airport experiences for an airport of that size. The arrival in particular was very fast as there was hardly any queue at all at the automated passport control (at rush hour!) and our luggage was on the collection belt as soon as we arrived. On the way out I was astonished by the range of shops after passing security and by how clean the place was despite the number of people passing through it. I also liked the free water fountains for refilling bottles. The only improvement I would suggest would be to make it clearer how long it takes to get to the departure gate, as it was quite long-winded for us due to having to take an underground train and several escalators and conveyor belts.
"
he was treated with full consideration,7,Emma Ketley,Australia,25th August 2017,❎ Unverified ,"  We understand Heathrow to be the busiest airport for passenger traffic in Europe and it certainly seems like it. Considering the numbers that Heathrow serves, we would like to compliment the ground staff and the security staff for their respectfulness and good humour. My father has poor health and a pacemaker. On both our outward and return journeys, my father was called for further screening. At these times, he demonstrated anxiety at being separated from his wife or those who usually assist him. However, as a family we all recognised that he was treated with full consideration, patience and both times he left the screen process laughing with the good humour of your staff. Thank you - you made a potentially distressing security check comfortable and efficient. Besides this, we would not recommend this airport due to its sheer busyness and passenger numbers!"
terminal needs a colourful revamp though,4,Francois Koenig,South Africa,25th August 2017,✅ Verified Review ,"  Arrival BA054 / 04 AUG 17 from JNB after fantastic BA inflight service. I thought I had arrived at a massive General Hospital! Stark, grey, lacking any form of colour or greenery and utterly confusing. Up and down multiple escalators, catch a 20 sec train ride, super long arrival queues (although well manned and directed), unfriendly Immigration (maybe all countries should send their officials on Customer Services training?). Another long walk to baggage carousel. Departure BA055 / 13 AUG 17 to JNB. BA Fast drop queues very long although well directed with friendly check-in staff manning many counters. Security was a drag- slow and unfriendly. Duty Free area was OK and had some colour to it Wifi connection was bad. BA inflight service very good on this flight - their home base terminal needs a colourful revamp though."
sat on the apron for an hour,5,Paul Ginnifer,United Kingdom,25th July 2017,❎ Unverified ,"  This review of terminal 5 can be broken down into 2 sections. Departure which was very smooth with very little delay at either boarding card check or through security. There were 5 of us, we all sailed through in 15 minutes. We found a seat at a restaurant and had a reasonable meal and a few drinks. We were called to gate 10 and were then ferried to our Qatar Airways plane. Should have been BA but changed due to the strike. A good experience. On return this is with BA we took off on time and were given a 2 hour flight time. We then circled the Thames estuary for 35 minutes Heathrow traffic was the culprit. When we eventually landed we then sat on the apron for an hour as there weren't any free gates apparently because of thunder storms. When we did get a gate we made our way to immigration just in time to see all the e reader get switched off, there were originally 5 or 6 working but they suddenly all turned red. When we went to baggage a sign was flashing saying 45 minute wait for luggage, thankfully we only had hand luggage. We went to the car, parked in the short time car park, where although we had pre paid the machine said we needed to pay £275 to leave the car park. This however was quickly resolved. A really rubbish experience. Completely opposite to departure."
very expensive shops,1,Sherry Gilson,United States,20th July 2017,❎ Unverified , I hate London Heathrow airport. Arrived very early in the morning as you usually do when traveling from the US to UK. Had a very long way to walk from terminal 5 to other terminals after my overnight flight. Long walk to bathroom (found only one) through very expensive shops. Few choices for food. Ate at Eat - only inexpensive place for breakfast with so many flights coming in. Very difficult to find a place to sit with luggage. Did have good pasteries and coffee. Much prefer Gatwick.
lots of shops and facilities,9,Attila Toth,United Kingdom,13th July 2017,❎ Unverified , London Heathrow Terminal 2 is nice and tidy. Outside of it you have a limited view to the runways. Main hall is spacious. The transit zone is situated on two floors and offers lots of shops and facilities. Lots of seating areas but phone charging sockets are not working at the seats. There is however a dedicated phone charging station. There are plenty of flight information screens around and a huge windowed wall opposite side of entering the building.
a really lovely way to start a holiday,9,C Button,United Kingdom,21st June 2017,❎ Unverified , I've just dropped my daughter at London Heathrow Terminal 2 flying to Australia with Thai Airways. I'm really impressed with the cleanliness and smooth running of the airport and the number and helpfulness of airport staff. It's a really lovely way to start a holiday.
better than some other airports,9,W Reader,United Kingdom,5th June 2017,✅ Verified Review ,"  Nice lounge with direct view of plane, small choice of food, hot and cold both Malaysian and English. Good Wi-Fi, seats could be a little more comfortable but fine and better than some other airports. Good selection of drinks, toilets are always clean and showers a very clean."
no acknowledgement of our existence,2,K Simpson,Gibraltar,31st May 2017,✅ Verified Review ,"  Due to the BA computer failure our flight was directed to a vacant parking spot instead of the usual drop off. I was fine with this, as I understand that steps had to be taken due to resolution methods used. What I was not fine with was the so called ""customer ambassadors"" (dressed in purple) gossiping behind our back, assuming that we did not speak and / or understand English. When we arrived, we were directed to an entry point. We then had to bang on a door, because two (2) ""Customer ambassadors"", just opposite the door, blatantly ignored us. All this took place whilst another customer ambassadors kept telling us that this was the only way in. Finally, they let us in. No apology and no acknowledgement of our existence, their faces drawn into a grimace, as though we had trampled on their consecrated tea break. We finally found our way by the use of signs and arrived at a closed door. A man was on the other end, telling us to wait. We wait and wait and wait whilst he has a general laugh with his colleagues on the other side. Finally he uses the card (around his neck) to open the door. None of this actually dampened my mood until we came across two women. To say that they were rude would be an understatement. After all the inconvenience we had already experienced, they decided that their best approached would be to demand our boarding pass in a tone one would use on a convicted criminal. Despite their disgraceful behavior, the request made sense. I offered my passport, with the boarding pass included. Being South African, I’m generally asked for everything. I thought I would spare us all the impending interrogation. To my surprise, not only does she sigh in frustration, but the moment we turn our backs, she looks at her colleagues and starts complaining. ""Why didn’t they just give me their boarding pass"", to which her colleague responds ""Maybe they don’t speak English"". My truthful feedback would be that a few our ambassadors should receive refresher training. If you plan on flaunting a title of customer ambassadors, you should make sure that you are worth of the title. The BA error must have been extremely frustrating for them, but that, by no means, excused their outright disrespect and poor service.

"
anywhere but Heathrow,1,Wayne Gobert,Australia,21st May 2017,unverified,"Second time arriving at London Heathrow and 1 hour in the Border line (both times). An absolute disgrace. Plenty of empty immigration desks but no staff. The EU passport side was empty but ""the rest of the world "" spiralled out through lane after lane of traffic tape. As for the ""purple people "" Heathrow staff who seem to do nothing but scowl - what do they actually do? Once again by the time we got through our luggage had been taken off the luggage belt and stored by someone. If you can avoid this airport go anywhere but Heathrow."
slowed the entire process,1,D Mitchell,United States,13th May 2017,✅ Verified Review ,"  The archaic and entirely idiotic ""1 bag"" of liquids only slowed the entire process of security to a crawl. I watched staff running around asking for certain timed flights to cut to the front and entire families desperate to put travel size bottles (that are allowed in every other airport) into 1 tiny bag per person. When I asked why they had this rule I was told ""it's your fault for not looking at the website of the airport your connecting flight was routes through"". Customer service at this airport is garbage and I will never fly through this airport again, regardless of the cost."
Customer Service is dead,2,C Allen,United States,8th May 2017,✅ Verified Review ,"  Customer Service is dead at Heathrow Airport: I had an hour to make my connection at Heathrow this morning. I did not have to change terminals, both my incoming and outbound flights were in terminal 5 and still I could not make it to the gate on time. I entered the ""Fast Track"" lane. Within 2 minutes I got moved, with others, to anther lane (non-fast track). As we are standing in line and others were complaining about the line not moving at all, I overhead the security staff member say to one of the traveling public, ""Fast Track does not mean you move fast"" - his words not mine! Finally, I got my bags on the belt for X-ray screening but my bag got pulled out for an extra security check and this is where the experience of abrupt, rude, uncaring security staff became most obvious. With a line of bags to be screened, I told the security manager 3 times I was going to miss my flight. ""No you will not Sir""! she insisted each time. As I ran to the gate, the bus was pulling away. BA attendants at the gate tried to stop the bus but were unsuccessful, but, they had no radios connecting them to the driver or anyone who could help. A colleague of mine made the flight was was to be on and 20 minutes after the bus pulled away the plane doors closed. I paid for a Business class seat and what did I get for it? The middle finger from Heathrow Airport. Airport management at Heathrow and around the world need to wake up and be reminded that we are ""customers"" not something you can take your own frustrations out on. We are paying your wages and it would be refreshing to see a little Customer Care. PS. The BA staff at the re-booking counter were very professional and did their best."
appears to be on an all or nothing basis,6,J Richards,United Kingdom,3rd May 2017,✅ Verified Review ,"  This was my first time flying out of and back into the new Terminal two at Heathrow airport. Whilst I try not to believe the hype around the opening of new termini these days, such is the disappointment one usually experiences, I couldn't help but let my expectations rise just a little. Drop-off and check-in was fine. My travelling companion and I, both of us disabled, were directed away from the kiosks to a manned counter. We were offered assistance making our way to the gate but turned it down on the basis that we are both able to walk and that in any case we wanted to have a bite to eat ahead of departure. We were told however to be at the gate at least an hour before the flight in order to be boarded ahead of the rush of other passengers. At security it was frustrating to have to walk back and forth through the interminable queueing system despite the absence of a queue. One would have expected, on seeing two disabled passengers, that staff would direct us to a more straightforward route. The security process itself however was painless, staff were polite and friendly, and it was all done and dusted pretty quickly. On entering the departure lounge however, on checking monitors for our gate number, we discovered that the number would not be provided until 70 minutes before the flight, giving us just 10 minutes to get there. We enquired at the information desk as to whether they had any early information on the likely gate, and were told that we would have to find an airline desk downstairs, wasting yet more time. Instead, we wolfed down a passable dinner at the closest restaurant we could find before checking the screens again. One expects the walk to One's departure gate to be long at Heathrow. What was a surprise at such a new terminal however, was finding that the entire route to the satellite building is undertaken with moving walkways rather than any kind of transit system, such as at terminal five, Stanstead, and numerous other airports. I will confess that the escalator trip down to the subway is impressive in its scale, but a faster means of transport involving less walking would have been a more inclusive approach for all passengers. The remainder of our departure run smoothly, and we were on our way to Seoul almost dead on time. The most frustrating thing about our departure experience however was that airport assistance appears to be on an all or nothing basis. Either one waits to be ferried through the terminal like a lump of luggage, without the opportunity to eat or shop, or one makes one's own way but without any help in the shape of shortened cues, timely information or intra terminal transport. Walking distances aside, our experience on return to terminal two, two weeks later, was reasonably positive. We were ushered to the special assistance passport counter, and were through in a matter of minutes. By the time we reached baggage reclaim our bags were not only there, but had been stacked next to the carousel. The only irritation was chasing our tails around the shortstay car park to find the lane where our Uber driver could collect us. Whilst I realise that Uber is just one of many private hire operators it would be good if airport authorities could recognise the nature and popularity of this service, and provide a more accessible means of being collected. So, all in all, there was nothing terrible about our overall experience."
almost 3 hours from landing to leaving the airport,1,T Lee,Taiwan,30th April 2017,✅ Verified Review ," Arrived at Heathrow Airport T2 just before 8PM, and the queues at non EU Immigration Control were unbelievably long. It took me an hour just to be able to see the front of the queue and the Immigration Control desks, only 2 were open, and it took me another hour to reach the immigration control desk, it was then I released that there were 4 UK Board control Agency officers standing there chatting to each other, oblivious to the queues right in front of them. 2.5 hours later, I managed to pass the immigration control, but by then, all the luggage had been removed from the carousel they were assigned to as new flights arrived. I managed to find my luggage amongst a mountain of luggage next to carousel 8. So, it took me almost 3 hours from landing to leaving the airport, and I was the lucky one, as I was one of the first to leave the aircraft, passengers from the same flight were still queueing when I went throughout the immigration control. The driver who came to pick me up told me this is not a one off but a daily occurrence. I think I will fly to Amsterdam next time and take a connecting flight into Leeds (my final destination), a small regional airport but seems to have more immigration officers (the last time I arrived there, there were 4 in total and I got through within minutes)."
couldn't have been more impressed,10,Philip Williams,Thailand,28th April 2017,unverified,"What a wonderful surprise! I hadn't used London Heathrow for 20 years (preferring to use my hometown airport Birmingham) but I couldn't have been more impressed. The immigration officers were chatty and friendly. There were plenty of good eating options and far cheaper than I expected of a London Airport. More than adequate seating areas. There's a great selection of hotels for an overnight stay, served by the excellent Hoppa shuttle service. Bus stations and bays are well sign-posted and easy to find. The security check was a breeze, even providing a nice area to pack your belongings after your stuff has gone through the scanner. Well done Heathrow! You make international travel that little bit more bearable."
a thoroughly unpleasant experience,2,G Irving,New Zealand,26th April 2017,✅ Verified Review ,"  This was a thoroughly unpleasant experience. Arrived early morning via BA into terminal five, no gates available so we were bussed into the building. From there we had a long walk to yet another bus to take us to terminal three - the second bus stop was literally metres away from the original bus stop. There were few actual seats on each bus, so standing was the only option. Once in terminal three signage was pitiful, and the toilets limited - more walking, no moving travelators, no toilets once at the gate. Security screening - the most grumpy lot that I encountered during eight flights. All in all very poor, in future I will travel via Amsterdam."
I've been in the passport line for 1 hour,1,A Victor,United Kingdom,26th April 2017,✅ Verified Review ," It's just insane. I've been in the line for all other passports at London Heathrow Airport for about 1 hour now, and we almost haven't moved. There are hundreds of people and only 3 passport control officers with about 10 available cabins. Is it really that difficult to predict the number of people arriving to the airport knowing the frequency and capacity of planes? It's just disrespectful to all the people citizens coming back to London where they pay huge taxes, and to all the tourists who come here to spend money"
security staff stood watching proceedings,7,Paul Ginnifer,United Kingdom,25th April 2017,unverified,"Got To terminal 2 and booked in with EVA Air within 5 minutes. Got pulled by security to have my hand luggage searched, apparently my earphones blocked my DVD player. Why there was only one checker is a mystery. Although 3 security staff were stood watching proceedings. Obviously management, come on role your sleeves up and help. I then had a 15 to 20 minute slog to the 'B' gates. Once in the Air Canada lounge I could relax. Flight got called and left on time. On return got to immigration quickly and through the 'E' Gate quickly. The ordinary check was manic blocked way back. Picked up luggage quckly and got to parking bus pick up in good time. Good experiance coming back marginally better than going."
immigration staff service is inconsistent,6,S Douglas,Indonesia,23rd April 2017,✅ Verified Review ," Foreign (non-UK, non-EU) traveler here. The immigration staff service at London Heathrow Airport is inconsistent. Sometimes they are really awful and being rude, but other times they are pretty professional and know what they are doing. UK Border Force have to be more friendly as they are the first image of British people that tourist will see. Immigration queue is usually long and take so much time. Queue on security when flying out is horrible. If a guy on front of you is caught on secondary check for bringing in a water bottle, takes so much time. If you caught in a secondary check, it takes ages for them to get you because usually there are lots of people getting secondary checks. Ground handling is really good. The immigration queue is already long enough that your bag would already be there. Tried some F&B;, they are your standard London food and nothing really special. The seating arrangement before the checkin counter is really bad as there are no seats at all, but there are lots of seating, which are comfortable, after you clear security checkpoint. Shopping is too high end. Not a really wonderful airport, but better than others."
Terminal 3 was faultless,9,W Jenkins,United Kingdom,1st April 2017,✅ Verified Review ," As a UK traveller getting through Heathrow Terminal 3 was faultless. There was quite a long walk to immigration from the gate but, even at 7.30am when a number of planes were landing, I was through immigration in about three minutes. The bags then arrived at the same time I did in the hall and I was out of the airport within 20 minutes of landing. Absolutely brilliant. It would be interesting to know how passengers from the US fared - do they experience waits of 2 hours plus as I always seem to do when landing n the US?"
"spacious, lots of light",9,M Sheikh,Canada,30th March 2017,unverified,"This review is specific to London Heathrow Terminal 2. We transited through one our way back to Canada. No real issues in regards to queues, relatively smooth, obviously some heightened security with everything going on in the world. Once through all the security checks, we took the bus from Terminal 4 to Terminal 2, the bus comes every 10 minutes so did not have to wait too long. After a lot of walking, which is not too bad since they have the moving floor belts, we got to Terminal 2. I must say this is one of the best looking terminals I have seen in quite some time. Spacious, lots of light, and lots to do. First of all, nice to see that Heathrow offers free wi-fi now. Terminal 2 is two stories, lots of seating areas, lots of shopping and a few coffee shops with some restaurants mixed in. There are a few private lounges as well, showers, an area that offers beds to sleep on if you have a long wait. I had a 6 hour lay over and I was able to pass time relatively easily. Definitely a nice change after having gone through Jeddah. Terminal 2 has huge windows so you can look out onto the tarmac and watch flights take off. Highly recommend this terminal."
long winding queues,2,E Moore,United Kingdom,9th March 2017,unverified,Modern look but badly planned with long walks up and down escalators to arrivals. UK Border a most unpleasant and unwelcoming vision. Long winding queues of shuffling tired passengers to a line of machines half of which were not operating. Being herded all the time. Machines slow and lady in front entered passport three times before finally rejected. Luggage delivery seemed ok but allowing for time lost getting there not fast.
queues were long and disorganised,1,O Taylor,Saudi Arabia,8th March 2017,✅ Verified Review ,  Queues were long and disorganised. Had to wait over half an hour to use the E gates (EU passports with chip) as some gates kept on stopping to function. When one was available I found it it could not read my passport. Would have been quicker in the Standard queue or even better in the Non EU line. Complete and utter joke of an airport.
was out of the airport within 25 minutes,8,W Johnson,United Kingdom,3rd March 2017,✅ Verified Review ,  Arrived on a flight from USA at about 8.30am and there was no queue at all in the EU Immigration area. My bag arrived promptly too and I was out of the airport within 25 minutes of leaving the plane. Could not have been better. I suspect I was lucky but can only say what I found.
staff were polite and efficient,8,T Robinson,United Kingdom,2nd March 2017,✅ Verified Review ,  I travelled from Heathrow Terminal 3 at the end of February. Terminal was very clean. No check in queue. Hardly any queue at security and staff were polite and efficient. Terminal 3 departures is not great as the selection of shops is average and numerous high end shops. More high street shops would be great. Overall a pleasant experience.
"clean, efficient and has plenty of good choices",8,B Johnson,United Kingdom,22nd February 2017,✅ Verified Review ,"  I still find it strange this airport wins an award for shopping. For the normal commuter or traveller it only has high brand companies in T2 and T5 which are the most up to date terminals. Otherwise it is clean, efficient and has plenty of good choices. Can't complain only really airports in the Middle East can rival."
I have waited over an hour and a half at passport control,2,Nat Smith,United Kingdom,20th February 2017,unverified,How many people does it take to stamp a passport? Apparently no one. Because we waited so long we thought we would never get back into the country. I am here on a visa and I understand that you take passport control very seriously and I tried to be patient. However. As an airport you know when the flights come in therefore should be staffed enough to make it a nice quick experience for the people. If people don't think the British are grumpy they do now. This has happened twice in the last month I have waited over an hour and a half at passport control with 1-2 lanes open. For everyone's sanity please manage your staff better because they are just doing there job and don't deserve to be yelled at by the many people in the line!
What a bad impression it must give visitors to the UK,2,Katherine Wilson,United Kingdom,19th February 2017,✅ Verified Review ,"  Obviously in this day and age we expect to have to remove laptops, have liquids checked etc. but I don't understand why Heathrow staff are always so rude about it. They have an arrogant sneer about them if you have not been able to read their minds. It seems because they now have to be more careful about security, politeness no longer matters. I have experienced this numerous times at Heathrow. You don't get this at other airports. Today it was at Terminal 4. What a bad impression it must give visitors to the UK."
on the whole a good experience,8,Paul Ginnifer,United Kingdom,16th February 2017,unverified,My first time from terminal 5. I have heard so many mixed reviews. Outward everything went really well and very quickly. From being dropped off by hotel bus until through into departure took about 20 to 25 minuted. This included not knowing the airport security and bag drop. Had nice breackfast and boarded plane hassle free. Return journey exactly the same hassle free until it came to collecting luggage and that took about 40 minutes. It would have been better if there had been seats to sit on. But on the whole a good experience and I would use again.
Easy check-in and quick security,9,John Bradley,United Kingdom,15th February 2017,✅ Verified Review ,"  I have been critical of Heathrow airport in the past but the last half a dozen experiences (Terminals 2 / 3 / 4 over the last 2-months) have been excellent. Easy check-in and quick security, excellent shopping and dining options and the main improvement has been arrivals. Even with immigration, luggage to collect and using off-site car parks, I have been in my car ready to leave 30 to 40-minutes after landing - excellent considering the size of the airport. I know there is a degree of luck with this, but the fact this has been so consistent recently, is what impresses me."
nice shops and facilities,8,Alastair Finch,United Kingdom,4th February 2017,unverified,"Flew Air New Zealand from London Heathrow Terminal 2 to Los Angeles. Check in really good, fast track security good, security staff were even forgiving when I forgot to empty my pockets. Nice shops and facilities. Only disappointment was the Singapore Airlines lounge used by Air New Zealand which was tired, worn out fittings and poor choice of indifferent food - very disappointing."
basic manners from the security staff would go a long way,3,F Edmonds,United Kingdom,17th January 2017,✅ Verified Review ,"  The security staff here are both very rude and inefficient. We are customers of the airport, not prisoners here against our own free will. Some basic manners from the security staff would go a long way. They are not representing just the airport but also our country as a whole. Barking orders at people but then not explaining what is going on is not acceptable, nor is it likely to help people progress through security quickly. I understand that they have an important job to do, however this is true in any airport. In most European and American airports the staff are both helpful and polite. Understandably this also tends to mean their lines move faster."
prepare for a delay up to one hour,3,Pieter Boone,Netherlands,13th January 2017,unverified,"BA's extensive route network make it an attractive airline to use to get to places. I am using them a lot. This review focuses on a situation that has been going on for years at T5 and it's unacceptable. This time I arrived from MIA at T3 took the airside but to BA's T5. There you are led through the rather efficient stages where someone confirms your connection then sends you up the stairs to go through security again. Getting to the conveyor belt is just a matter of waiting for your turn, it does move. The problem starts when your luggage will not come out of the X-ray machine directly to you, but is rerouted to endure secondary inspection. Luckily mine got straight through but I witnessed what I have seen time and time again. A dozen or more bags waiting to be inspected, very anxious passengers under a lot of time pressure and one security staff member that seems to take an extreme amount of time per bag to investigate, unpack, re-screen, repack etc. Just so painful to watch. These security staff members work unsupervised and there is not a thing you can do to express urgency, ask for sympathy or engage in anyway without delaying the process even more. It's is shameless power play with people under pressure, people that have been traveling for hours, may not feel comfortable, people whose bags come from a 'clean & cleared' situation (because they came directly from a plane and had been previously scanned). It is totally unacceptable and there is nothing you can do. My advice is to unpack anything that might raise concerns: batteries, small bottles, wires, computers, phone etc etc. put that all in separate bins. When you are about to start unpacking, peek over the X-ray to see if there is a difference taking the left or right scanning machine, the left may be empty for secondary checks while the right is all backed up. If you do end up for secondary checks, prepare for a delay up to one hour."
mostly communication problems,2,J Naumiec,United States,12th January 2017,unverified,"Arrived to London Heathrow from Amsterdam on a flight to connect to another flight to Chicago. Flight from Amsterdam was late which left just enough time to catch my connecting flight. Signs directing passengers to connecting flights were not very clear. The rep was standing at the bottom of an escalator was a joke as there were 3 different reps from 3 different airlines. No way to tell which rep was from which airline. The instructions I was given weren't clear. As I raced to the gate, I checked the departure list and saw my flight was on time. Stopped by a customer service stand and asked them to contact the gate as I would be late in arriving. They informed me the flight was delayed for 30 minutes. I got to my gate as they were boarding. That experience could have been improved by better signs, clearer directions from BA staff, Airline reps having a proper place to address passengers . Updated flight information. Mostly a communication problem. Never had a chance to experience any amenities at Heathrow. I will do my utmost to avoid Heathrow in the future."
investments in the various terminals have paid off,7,J Tydeman,United Kingdom,9th January 2017,unverified,"Flew from LHR to Sao Paulo. No check in queue. No security queue. Flew through in a breeze. Had a meal in one of the lovely eateries in T3. My only grumble is the lack of normal high street shops, ie with things people can afford. It is all a bit 'high end'. Overall, very good though. The investments in the various terminals have paid off!"
so impressed by Heathrow,8,V Andrews,United Kingdom,9th January 2017,✅ Verified Review ," After a horrendous experience at the chaotic and overcrowded Toronto Pearson airport, I was so impressed by Heathrow that I thought I would say a few words in its favour. People tend to submit reviews when they are not happy with services and had I not had such a bad experience at the previous airport I probably would not have thought of writing positively about this one. After a very difficult 17 hour journey it was a pleasant relief to find getting through at Heathrow was such a breeze. After landing at Heathrow I found clean and spacious washroom facilities before reaching immigration. There were drinking fountains I could use to fill up my water bottle. I then got through immigration very quickly using, for the first time, the self scan passport booths. There was a helpful member of staff there to assist which was useful as I put mine in the wrong way round the first couple of times. Then my baggage came off very quickly and the baggage reclaim area was clean and orderly and there were plenty of trolleys. Signage was good and I easily got to the underground where I picked up a Piccadilly line train almost immediately. The whole process from disembarkation to stepping onto the train was about 45 minutes."
avoid terminal 3 if possible,2,Sue Morley,United Kingdom,8th January 2017,unverified,"London Heathrow terminal 3 with it's endless walking to departures, utterly appalling check in procedures is an embarrassment to the UK and international travel. We took our son to get his AA flight to Raleigh Durham this morning. Queues everywhere. The self check machines did not all work. We kept being sent to a different queue and different desk. I asked for advice from a member of staff whose badge stated he was there to help, he actually shrugged and said ""well what do you want me to do?"" Almost beyond belief. It took 90 minutes to check in which is dreadful. It was stressful, the staff were surly and rude, people were being treated with disdain. I will never, ever spend my money with American Airlines again. I would advise anyone to avoid terminal 3 if possible."
a real nightmare,6,Edgar Lopez,United States,4th January 2017,unverified,"If you can, please avoid London Heathrow airport. I had a layover of 2hrs and 20 minutes and I almost lost my flight to Dallas. I had to walk through endless corridors, then take a slow bus to reach the next terminal, and then at terminal 3 there where only 3 staff helping a queue of 60 people at the American Airlines counters. I needed to wait for boarding passes for me an my family. We waited for about 45 minutes to do this. Then another security inspection, and finally walk of half a mile to reach gate 42. I would rather connect in any other European airport, Heathrow is a real nightmare."
rude employees,1,N Andrews,United Kingdom,4th January 2017,✅ Verified Review ,"  Rude employees at check in, security and even the lounges (incl. Concorde room!), terminal transfers are too long and on dirty busses and security denies you boarding if your flight is scheduled to depart even one second short of 35 min later regardless if you have checked a bag or not. BA has no standby so you will be forced to pay £300+ to take the next flight. If you decide to fly another airline they threaten to cancel your return ticket. The airport hotels are too far with unreliable transportation to the terminals, esp. in the early mornings (busses take forever, no cabs to be found and Uber takes 15 min to pick you up). Never connect here, never fly BA and hopefully this will teach them not to take customers for granted. 
"
waited more than one and a half hours,1,K Peters,Australia,4th January 2017,✅ Verified Review ,"  On our arrival, only few tables for many hundreds of visitors for writing the custom forms at the immigration so many sat on floor to complete their customer forms. We waited more than one and a half hours in the long long queue. I wondered why the immigration officer asked so many unrelated questions to our trip such as asked about my work scope, how long I have worked for the company, what working hours and asked my son what course he is studying, how many years to go etc.. No wonder why we had to wait for more than one and a half hours in the long long queues. On our departure, we waited more than 45 minutes in the queue for the claim VAT. They worked very slow."
this has really been a horrible experience,1,Anthony Blackburn,United Kingdom,3rd January 2017,unverified,"My complaint is about staff attitude. We were flying out of Heathrow Terminal 5 on the 17 December. The airport had severe problems with fog. We could not find a member of staff who could be helpful. One member of staff just said, if I was you I would come back tomorrow, not what you want to be told when you have missed your plane (after sitting on a plane at Newcastle for 5 hours) and are trying to find out what is happening. I have always found Heathrow to be quite good but this has really been a horrible experience. The return journey was a little bit better but not by much."
state of the art,10,Gilberto Sing,United Kingdom,2nd January 2017,✅ Verified Review ," London Heathrow as always provided excellent service during the customs process procedure coming from LAX, disembarked in good time, no delays, UK customs were really professional. The terminal cleanliness fine, lots of signs to go through customs and for baggage claim, Terminal 5 is a state of the art airport terminal with all the services in it."
just another gilded souk,2,C Maylin,United Kingdom,28th December 2016,unverified,"London Heathrow airport is nice and clean. However the duty free area is just another gilded souk. Every time that you try and stop to have a look at something, an aggressive sales shark will pounce upon you. I was stopped 11 times. Should you have the misfortune of having to buy something, you are harassed into buying other products. It's an absolute headache and a very unpleasant experience. They lost money from me. Staff are not even qualified in their concessions. Clearly everyone is on targets and minimum wage. There does not need to be customer service as it's a captive non repeat business audience. I expect this in the middle and far east but not in UK. It's horrible. Just don't bother and buy at your destination."
